"","CODMUNRES","ANO","INCOMPLETUDE","TOTAIS","UF"
"8262","314660",2023,0,15,"MG"
"8263","314670",2021,0,63,"MG"
"8264","314670",2022,0,57,"MG"
"8265","314670",2023,0,48,"MG"
"8266","314675",2021,0,63,"MG"
"8267","314710",2023,0,1164,"MG"
"8268","314720",2021,0,248,"MG"
"8269","314720",2023,0,230,"MG"
"8270","314750",2021,0,12,"MG"
"8271","314750",2022,0,15,"MG"
"8272","314750",2023,0,16,"MG"
"8273","314760",2021,0,164,"MG"
"8274","314760",2022,0,165,"MG"
"8275","314760",2023,0,177,"MG"
"8276","314770",2021,0,45,"MG"
"8277","314770",2022,0,66,"MG"
"8278","314780",2021,0,17,"MG"
"8279","314780",2022,0,21,"MG"
"8280","314780",2023,0,22,"MG"
"8281","314790",2021,0,1337,"MG"
"8282","314790",2022,0,1331,"MG"
"8283","314790",2023,0,1268,"MG"
"8284","314795",2022,0,47,"MG"
"8285","314795",2023,0,43,"MG"
"8286","314800",2021,0,1712,"MG"
"8287","314800",2023,0,1886,"MG"
